Row ID,Order ID,Order Date,Order Priority,Order Quantity,Sales,Discount,Ship Mode,Profit,Unit Price,Shipping Cost,Customer Name,Customer Age,City,Zip Code,State,Region,Customer Segment,Product Category,Product Sub-Category,Product Name,Product Container,Product Base Margin,Ship Date
8013,57253,1/5/12,Critical,48,12635.75,0.07,Regular Air,-335.24,279.48,35,Darren Budd,,Bedford,76021,Texas,Central,Consumer,Furniture,Office Furnishings,Telescoping Adjustable Floor Lamp,Large Box,0.6,1/5/12
8014,57253,1/5/12,Critical,49,240.3,0.08,Regular Air,-139.16,4.91,5.68,Darren Budd,,Bedford,76021,Texas,Central,Consumer,Furniture,Tables,"Iceberg OfficeWorks 42"" Round Tables",Jumbo Box,0.7,1/6/12
8015,57253,1/5/12,Critical,25,2750.107,0.04,Regular Air,667.45,125.99,5.26,Darren Budd,,Bedford,76021,Texas,Central,Consumer,Technology,Telephones and Communication,232,Small Box,0.55,1/5/12
8291,59232,1/5/12,High,23,725.43,0,Regular Air,245.97,30.98,5.76,Robert Waldorf,,Monroe,71203,Louisiana,South,Home Office,Office Supplies,Paper,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Small Box,0.4,1/7/12
947,6854,1/6/12,Medium,1,22.13,0.07,Express Air,-2.39,7.68,6.16,Victor Price,,Royal Palm Beach,33411,Florida,South,Consumer,Office Supplies,Binders and Binder Accessories,GBC VeloBinder Strips,Small Box,0.35,1/8/12
948,6854,1/6/12,Medium,19,129.84,0.05,Express Air,2.39,6.64,4.95,Victor Price,,Royal Palm Beach,33411,Florida,South,Consumer,Furniture,Office Furnishings,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Small Pack,0.37,1/8/12
2001,14274,1/6/12,Not Specified,23,3674.08,0.01,Delivery Truck,112.44,150.98,30,Craig Leslie,,Hilton Head Island,29915,South Carolina,South,Consumer,Furniture,Chairs & Chairmats,Novimex Swivel Fabric Task Chair,Jumbo Drum,0.74,1/8/12
2002,14274,1/6/12,Not Specified,46,1413.89,0.01,Express Air,-40.72,28.28,13.99,Craig Leslie,,Hilton Head Island,29915,South Carolina,South,Consumer,Office Supplies,Storage & Organization,Eldon Portable Mobile Manager,Medium Box,0.58,1/8/12
2003,14274,1/6/12,Not Specified,2,61.7185,0.03,Regular Air,-164.04,35.99,1.1,Craig Leslie,,Hilton Head Island,29915,South Carolina,South,Consumer,Technology,Telephones and Communication,Accessory35,Small Box,0.55,1/7/12
2325,16770,1/6/12,Critical,17,37.06,0.03,Regular Air,0.61,2.1,0.7,Muhammed Yedwab,,Petersburg,23805,Virginia,South,Consumer,Office Supplies,Pens & Art Supplies,"Sanford EarthWrite® Recycled Pencils, Medium Soft, #2",Wrap Bag,0.57,1/7/12
2350,16961,1/6/12,Not Specified,27,46.86,0.06,Regular Air,-37.08,1.7,1.99,Tracy Collins,,Herndon,20170,Virginia,South,Consumer,Technology,Computer Peripherals,BASF Silver 74 Minute CD-R,Small Pack,0.51,1/7/12
2351,16961,1/6/12,Not Specified,34,1089.59,0.01,Regular Air,433.24,30.98,5.09,Tracy Collins,,Herndon,20170,Virginia,South,Consumer,Office Supplies,Paper,Xerox 19,Small Box,0.4,1/8/12
3283,23488,1/6/12,High,29,101.77,0.03,Regular Air,-73.19,3.28,3.97,Julia Barnett,,San Clemente,92672,California,West,Home Office,Office Supplies,Pens & Art Supplies,Newell 342,Wrap Bag,0.56,1/8/12
3284,23488,1/6/12,Critical,30,26133.39,0.04,Delivery Truck,-11053.60,880.98,44.55,Julia West,,Galesburg,61401,Illinois,Central,Home Office,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Jumbo Box,0.62,1/7/12
5794,41094,1/6/12,Low,46,298.97,0.09,Regular Air,-225.86,6.48,8.73,Maribeth Schnelling,,Fairfax,20151,Virginia,South,Corporate,Office Supplies,Paper,Xerox 227,Small Box,0.37,1/8/12
5795,41094,1/6/12,Low,6,159.05,0.05,Regular Air,-153.46,20.34,35,Maribeth Schnelling,,Fairfax,20151,Virginia,South,Corporate,Office Supplies,Storage & Organization,Tennsco Commercial Shelving,Large Box,0.84,1/10/12
6773,48226,1/6/12,Low,23,2357.45,0.02,Delivery Truck,-108.80,100.98,35.84,Corey Roper,,Bristol,06010,Connecticut,East,Small Business,Furniture,Bookcases,"Bush Westfield Collection Bookcases, Fully Assembled",Jumbo Box,0.62,1/6/12
450,3073,1/7/12,Medium,3,10.58,0.05,Regular Air,-11.58,1.98,4.77,Jasper Cacioppo,,Franklin Square,11010,New York,East,Home Office,Office Supplies,Binders and Binder Accessories,Avery Reinforcements for Hole-Punch Pages,Small Box,0.4,1/8/12
451,3073,1/7/12,Medium,3,2119.67,0.07,Express Air,-2314.74,699.99,24.49,Jasper Cacioppo,,Franklin Square,11010,New York,East,Home Office,Technology,Copiers and Fax,Canon PC1060 Personal Laser Copier,Large Box,0.41,1/8/12
452,3073,1/7/12,Medium,7,45923.76,0.07,Regular Air,102.61,6783.02,24.49,Jasper Cacioppo,,Franklin Square,11010,New York,East,Home Office,Technology,Office Machines,Polycom ViewStation™ ISDN Videoconferencing Unit,Large Box,0.39,1/8/12
2538,18405,1/7/12,Medium,30,610.65,0.09,Express Air,60.27,20.98,8.83,George Ashbrook,,Lubbock,79424,Texas,Central,Consumer,Office Supplies,Binders and Binder Accessories,Premium Transparent Presentation Covers by GBC,Small Box,0.37,1/9/12
2539,18405,1/7/12,Medium,2,158.04,0.03,Regular Air,-263.09,73.98,14.52,George Ashbrook,,Lubbock,79424,Texas,Central,Consumer,Technology,Computer Peripherals,Keytronic French Keyboard,Small Box,0.65,1/10/12
4540,32295,1/7/12,High,11,607.597,0.07,Regular Air,-112.24,65.99,5.99,Pauline Chand,,Norman,73071,Oklahoma,Central,Small Business,Technology,Telephones and Communication,i1000,Small Box,0.58,1/8/12
4778,33923,1/7/12,Low,34,1961.7915,0.05,Regular Air,425.75,65.99,5.99,Benjamin Venier,,Fresno,93727,California,West,Small Business,Technology,Telephones and Communication,i1000,Small Box,0.58,1/11/12
5733,40704,1/7/12,Low,6,11.57,0.01,Regular Air,-2.06,1.76,0.7,Julie Kriz,,Brunswick,04011,Maine,East,Corporate,Office Supplies,Pens & Art Supplies,Newell 310,Wrap Bag,0.56,1/12/12
6199,43909,1/7/12,High,46,737.25,0.08,Regular Air,-199.13,15.99,13.18,Chloris Kastensmidt,,Las Vegas,89115,Nevada,West,Consumer,Office Supplies,Binders and Binder Accessories,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Small Box,0.37,1/8/12
611,4193,1/8/12,High,16,64.29,0.07,Regular Air,14.42,4.13,0.99,Sandra Flanagan,,Garfield Heights,44125,Ohio,East,Home Office,Office Supplies,Labels,Avery 491,Small Box,0.39,1/8/12
612,4193,1/8/12,High,3,75.77,0.03,Regular Air,64.25,22.72,8.99,Sandra Flanagan,,Garfield Heights,44125,Ohio,East,Home Office,Furniture,Office Furnishings,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Small Pack,0.44,1/8/12
998,7203,1/8/12,High,25,21752.01,0.03,Regular Air,9296.35,896.99,19.99,Ruben Dartt,,Edmonds,98026,Washington,West,Corporate,Office Supplies,Binders and Binder Accessories,GBC DocuBind TL300 Electric Binding System,Small Box,0.38,1/10/12
4234,30083,1/8/12,Not Specified,23,324.28,0.07,Regular Air,20.43,14.56,3.5,Luke Schmidt,,Myrtle Beach,29577,South Carolina,South,Home Office,Office Supplies,Appliances,Acco 6 Outlet Guardian Premium Surge Suppressor,Small Box,0.58,1/9/12
1173,8576,1/9/12,High,43,541.45,0,Express Air,-164.25,11.66,8.99,Cynthia Voltz,,Gilroy,95020,California,West,Corporate,Office Supplies,Pens & Art Supplies,Boston 16765 Mini Stand Up Battery Pencil Sharpener,Small Pack,0.59,1/11/12
2571,18561,1/9/12,Not Specified,9,45.87,0.02,Regular Air,-38.90,4.13,6.89,Joni Blumstein,,Lawton,73505,Oklahoma,Central,Home Office,Office Supplies,Labels,"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",Small Box,0.39,1/10/12
4449,31715,1/9/12,Not Specified,24,64.11,0.09,Regular Air,-4.09,2.78,0.97,Mark Haberlin,,Augusta,04330,Maine,East,Small Business,Office Supplies,Pens & Art Supplies,Newell 339,Wrap Bag,0.59,1/11/12
4450,31715,1/9/12,Not Specified,11,68.5,0.01,Regular Air,-53.85,5.38,7.57,Mark Haberlin,,Pasadena,91104,California,West,Small Business,Office Supplies,Binders and Binder Accessories,"Acco PRESSTEX® Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""",Small Box,0.36,1/10/12
4451,31715,1/9/12,Not Specified,44,145.19,0.05,Regular Air,-116.87,3.28,3.97,Mark Haberlin,,Pasadena,91104,California,West,Small Business,Office Supplies,Pens & Art Supplies,Newell 337,Wrap Bag,0.56,1/9/12
5666,40097,1/9/12,Low,47,117.88,0.1,Regular Air,-71.00,2.6,2.4,Olvera Toch,,Madison,53711,Wisconsin,Central,Home Office,Office Supplies,Pens & Art Supplies,12 Colored Short Pencils,Wrap Bag,0.58,1/14/12
6627,47138,1/9/12,Low,1,107.95,0.04,Regular Air,-506.31,125.99,8.99,Benjamin Patterson,,King of Prussia,19406,Pennsylvania,East,Corporate,Technology,Telephones and Communication,M70,Small Box,0.59,1/16/12
8161,58343,1/9/12,Not Specified,39,121.87,0.07,Regular Air,11.32,3.29,1.35,Yana Sorensen,,Plainfield,07060,New Jersey,East,Corporate,Office Supplies,Rubber Bands,Acco® Hot Clips™ Clips to Go,Wrap Bag,0.4,1/11/12
2045,14596,1/10/12,Critical,24,199.12,0.01,Regular Air,73.33,8.34,0.96,Darren Powers,,Denton,76201,Texas,Central,Corporate,Furniture,Office Furnishings,Document Clip Frames,Wrap Bag,0.43,1/12/12
2046,14596,1/10/12,Critical,19,63.14,0.06,Regular Air,-53.75,3.28,3.97,Darren Powers,,Denton,76201,Texas,Central,Corporate,Office Supplies,Pens & Art Supplies,Newell 337,Wrap Bag,0.56,1/11/12
2775,20037,1/10/12,Low,35,1009.42,0.02,Regular Air,339.58,29.18,8.55,Michelle Moray,,Pleasure Ridge Park,40258,Kentucky,South,Corporate,Furniture,Office Furnishings,"Deflect-o SuperTray™ Unbreakable Stackable Tray, Letter, Black",Small Box,0.42,1/15/12
2776,20037,1/10/12,Low,49,15137.11,0.03,Delivery Truck,4913.16,297.64,14.7,Michelle Moray,,Pleasure Ridge Park,40258,Kentucky,South,Corporate,Technology,Office Machines,Panasonic KX-P3200 Dot Matrix Printer,Jumbo Drum,0.57,1/15/12
3964,28290,1/10/12,Low,43,1307.35,0.05,Express Air,-154.24,30.42,8.65,Maria Bertelson,,Hazelwood,63042,MO,Central,Home Office,Technology,Computer Peripherals,"Fellowes Internet Keyboard, Platinum",Small Box,0.74,1/14/12
3965,28290,1/10/12,Low,3,523.58,0.01,Express Air,-179.36,161.55,19.99,Maria Bertelson,,Hazelwood,63042,MO,Central,Home Office,Office Supplies,Storage & Organization,Fellowes Super Stor/Drawer® Files,Small Box,0.66,1/12/12
4073,28999,1/10/12,High,34,1177.5,0.02,Regular Air,420.05,33.98,1.99,Giulietta Dortch,,Essex Junction,05451,Vermont,East,Corporate,Technology,Computer Peripherals,"Imation Neon 80 Minute CD-R Spindle, 50/Pack",Small Pack,0.45,1/11/12
4425,31553,1/10/12,Critical,32,4906.85,0.09,Regular Air,1907.94,162.93,19.99,Sean Wendt,,Minnetonka,55345,Minnesota,Central,Corporate,Office Supplies,Envelopes,Multimedia Mailers,Small Box,0.39,1/12/12
4787,33988,1/10/12,Medium,30,164.78,0,Regular Air,-128.47,5.02,5.14,Rob Haberlin,,Pittsburgh,15122,Pennsylvania,East,Consumer,Technology,Computer Peripherals,"Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Small Pack,0.79,1/11/12
6273,44391,1/10/12,Not Specified,16,112.81,0.02,Regular Air,-85.23,6.48,9.17,Ann Steele,,Lehi,84043,Utah,West,Corporate,Office Supplies,Paper,Xerox 1996,Small Box,0.37,1/11/12
7731,55367,1/10/12,Critical,31,2137.1,0.05,Delivery Truck,-686.01,70.98,46.74,Kristina Nunn,,East Lansing,48823,Michigan,Central,Consumer,Furniture,Bookcases,"Hon Metal Bookcases, Putty",Jumbo Box,0.56,1/11/12
7732,55367,1/10/12,Critical,48,571.17,0.05,Regular Air,129.87,11.55,2.36,Kristina Nunn,,East Lansing,48823,Michigan,Central,Consumer,Office Supplies,Pens & Art Supplies,Newell 309,Wrap Bag,0.55,1/12/12
2726,19655,1/11/12,High,31,1143.45,0.06,Regular Air,304.42,39.24,1.99,Alan Barnes,,Springfield,62701,Illinois,Central,Corporate,Technology,Computer Peripherals,Verbatim DVD-R 4.7GB authoring disc,Small Pack,0.51,1/12/12
3040,21830,1/11/12,Low,19,6991.65,0.08,Delivery Truck,906.80,399.98,12.06,Andy Gerbode,,Lebanon,37087,Tennessee,South,Consumer,Technology,Office Machines,Okidata ML320 Series Turbo Dot Matrix Printers,Jumbo Box,0.56,1/18/12
4754,33797,1/11/12,Not Specified,20,4531.34,0.08,Delivery Truck,653.68,297.64,14.7,Bradley Drucker,,Bellingham,02019,MA,East,Small Business,Technology,Office Machines,Panasonic KX-P3200 Dot Matrix Printer,Jumbo Drum,0.57,1/11/12
4755,33797,1/11/12,Not Specified,44,574.5,0.02,Regular Air,-449.04,12.99,14.37,Bradley Drucker,,Beverly,01915,MA,East,Small Business,Furniture,Office Furnishings,"Tensor ""Hersey Kiss"" Styled Floor Lamp",Large Box,0.73,1/12/12
4756,33797,1/11/12,Not Specified,18,262.94,0.06,Regular Air,-22.37,14.42,6.75,Bradley Drucker,,Hanson,02341,MA,East,Small Business,Office Supplies,Appliances,Holmes Odor Grabber,Medium Box,0.52,1/12/12
4757,33797,1/11/12,Not Specified,29,138.17,0.05,Express Air,-103.78,4.14,6.6,Bradley Drucker,,Hawthorne,07506,New Jersey,East,Small Business,Furniture,Office Furnishings,Eldon Image Series Black Desk Accessories,Small Box,0.49,1/13/12
4758,33797,1/11/12,Not Specified,18,216.87,0.03,Regular Air,30.53,11.34,5.01,Bradley Drucker,,Trenton,08601,New Jersey,East,Small Business,Office Supplies,Paper,Xerox 188,Small Box,0.36,1/11/12
1024,7461,1/12/12,Low,12,4080.3,0.05,Delivery Truck,593.79,350.99,39,Greg Matthias,,Englewood,80112,Colorado,West,Home Office,Furniture,Chairs & Chairmats,Global Leather Executive Chair,Jumbo Drum,0.55,1/14/12
1025,7461,1/12/12,Low,28,260.79,0,Regular Air,111.40,8.74,1.39,Greg Matthias,,Englewood,80112,Colorado,West,Home Office,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Small Box,0.38,1/16/12
1026,7461,1/12/12,Low,44,90.35,0.02,Regular Air,-16.72,1.98,0.7,Greg Matthias,,Englewood,80112,Colorado,West,Home Office,Office Supplies,Rubber Bands,"Brites Rubber Bands, 1 1/2 oz. Box",Wrap Bag,0.83,1/16/12
2855,20549,1/12/12,Not Specified,40,1030.09,0.09,Regular Air,-568.71,27.75,19.99,Cindy Schnelling,,Florence,41042,Kentucky,South,Corporate,Office Supplies,Storage & Organization,Fellowes Super Stor/Drawer®,Small Box,0.67,1/13/12
3901,27813,1/12/12,Medium,10,401.14,0.1,Regular Air,-131.03,40.98,6.5,Liz Price,,Fort Thomas,41075,Kentucky,South,Consumer,Technology,Computer Peripherals,Targus USB Numeric Keypad,Small Box,0.74,1/14/12
5327,37862,1/12/12,Not Specified,27,1603.27,0.01,Regular Air,452.49,59.98,3.99,Guy Thornton,,Springfield,65807,MO,Central,Corporate,Office Supplies,Appliances,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,Small Box,0.57,1/15/12
6122,43362,1/12/12,Critical,45,15963.09,0.03,Delivery Truck,4276.73,350.98,30,Rick Reed,,Gaithersburg,20877,Maryland,East,Consumer,Furniture,Chairs & Chairmats,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Jumbo Drum,0.61,1/15/12
6123,43362,1/12/12,Critical,33,58.48,0.04,Regular Air,2.72,1.68,1,Rick Reed,,Gaithersburg,20877,Maryland,East,Consumer,Office Supplies,Pens & Art Supplies,Prang Dustless Chalk Sticks,Wrap Bag,0.35,1/14/12
1894,13602,1/13/12,Low,3,445.34,0.03,Delivery Truck,-377.90,145.45,17.85,Brian Stugart,,Manteca,95336,California,West,Corporate,Technology,Office Machines,Panasonic KX-P1150 Dot Matrix Printer,Jumbo Drum,0.56,1/18/12
1895,13602,1/13/12,Low,13,660.99,0.02,Regular Air,267.67,48.04,5.09,Brian Stugart,,Manteca,95336,California,West,Corporate,Office Supplies,Paper,Xerox 1910,Small Box,0.37,1/13/12
3582,25541,1/13/12,Low,50,297.76,0.07,Regular Air,-111.34,5.98,5.79,Mike Gockenbach,,Pembroke Pines,33024,Florida,South,Consumer,Office Supplies,Paper,Xerox 1903,Small Box,0.36,1/15/12
7241,51623,1/13/12,Critical,17,39.23,0.06,Regular Air,-66.58,2.08,5.33,Michelle Huthwaite,,College Park,20740,Maryland,East,Home Office,Furniture,Office Furnishings,Eldon® Wave Desk Accessories,Small Box,0.43,1/13/12
1144,8325,1/14/12,Critical,21,2364.29,0.08,Delivery Truck,-220.05,115.99,56.14,Jennifer Patt,,Salinas,93905,California,West,Home Office,Technology,Office Machines,Hewlett-Packard Deskjet 5550 Color Inkjet Printer,Jumbo Drum,0.4,1/16/12
1145,8325,1/14/12,Critical,27,112.57,0.08,Regular Air,13.92,4.28,0.94,Jennifer Patt,,Salinas,93905,California,West,Home Office,Office Supplies,Pens & Art Supplies,Newell 336,Wrap Bag,0.56,1/17/12
4291,30567,1/14/12,Not Specified,14,2690.84,0.1,Delivery Truck,-368.02,208.16,68.02,Toby Swindell,,Germantown,38138,Tennessee,South,Small Business,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Jumbo Drum,0.58,1/14/12
4292,30567,1/14/12,Not Specified,8,733.55,0.07,Regular Air,103.13,90.48,19.99,Toby Swindell,,Hendersonville,37075,Tennessee,South,Small Business,Office Supplies,Envelopes,Tyvek® Side-Opening Peel & Seel® Expanding Envelopes,Small Box,0.4,1/15/12
4293,30567,1/14/12,Not Specified,3,38.71,0.01,Express Air,23.00,9.48,7.29,Toby Swindell,,Hendersonville,37075,Tennessee,South,Small Business,Furniture,Office Furnishings,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",Small Pack,0.45,1/16/12
4294,30567,1/14/12,Not Specified,14,62.6,0.02,Regular Air,7.32,4.28,0.94,Toby Swindell,,Hendersonville,37075,Tennessee,South,Small Business,Office Supplies,Pens & Art Supplies,Newell 336,Wrap Bag,0.56,1/15/12
4875,34691,1/14/12,Critical,27,217.68,0.08,Regular Air,-168.75,7.77,9.23,Clytie Kelty,,Allentown,18103,Pennsylvania,East,Small Business,Office Supplies,Appliances,Hoover Commercial Soft Guard Upright Vacuum And Disposable Filtration Bags,Small Box,0.58,1/16/12
